c_rate,Label,W1,W2,nRMSE,Gap,Paper_nRMSE,Paper_Gap,Delta_nRMSE,Delta_Gap
1.0,1/20,1,20,36.24,13.42,34.89,13.91,1.35,-0.49
1.0,1/10,1,10,36.65,13.24,35.14,13.42,1.51,-0.18
1.0,1/5,1,5,35.64,13.3,36.28,12.71,-0.64,0.59
1.0,1/1,1,1,57.92,13.62,44.95,11.44,12.97,2.18
1.0,1/0,1,0,99.28,14.67,50.07,11.36,49.21,3.31
1.0,AR,,,36.112666299164616,13.471055019259392,34.76,15.04,1.35,-1.57

1.2,1/20,1,20,35.64,12.14,34.89,13.91,0.75,-1.77
1.2,1/10,1,10,35.37,11.82,35.14,13.42,0.23,-1.6
1.2,1/5,1,5,35.25,11.8,36.28,12.71,-1.03,-0.91
1.2,1/1,1,1,37.35,11.75,44.95,11.44,-7.6,0.31
1.2,1/0,1,0,71.84,12.41,50.07,11.36,21.77,1.05
1.2,AR,,,36.112666299164616,12.099035405522772,34.76,15.04,1.35,-2.94

1.5,1/20,1,20,35.68,14.19,34.89,13.91,0.79,0.28
1.5,1/10,1,10,35.71,13.85,35.14,13.42,0.57,0.43
1.5,1/5,1,5,35.62,13.75,36.28,12.71,-0.66,1.04
1.5,1/1,1,1,38.04,13.32,44.95,11.44,-6.91,1.88
1.5,1/0,1,0,68.85,11.17,50.07,11.36,18.78,-0.19
1.5,AR,,,36.112666299164616,14.501367697971645,34.76,15.04,1.35,-0.54

2.0,1/20,1,20,35.89,20.62,34.89,13.91,1.0,6.71
2.0,1/10,1,10,36.25,20.4,35.14,13.42,1.11,6.98
2.0,1/5,1,5,36.83,20.68,36.28,12.71,0.55,7.97
2.0,1/1,1,1,39.56,18.1,44.95,11.44,-5.39,6.66
2.0,1/0,1,0,76.75,12.07,50.07,11.36,26.68,0.71
2.0,AR,,,36.112666299164616,22.114010080101544,34.76,15.04,1.35,7.07

3.0,1/20,1,20,36.14,33.78,34.89,13.91,1.25,19.87
3.0,1/10,1,10,36.89,34.88,35.14,13.42,1.75,21.46
3.0,1/5,1,5,37.08,32.6,36.28,12.71,0.8,19.89
3.0,1/1,1,1,42.42,18.53,44.95,11.44,-2.53,7.09
3.0,1/0,1,0,89.33,14.38,50.07,11.36,39.26,3.02
3.0,AR,,,36.112666299164616,37.80053687094507,34.76,15.04,1.35,22.76

