c_rate,Label,W1,W2,AR_nRMSE,AR_Gap,MLR_nRMSE,MLR_Gap,Paper_nRMSE,Paper_Gap
1.0,1/20,1,20,36.24,13.42,24.19,13.97,34.89,13.91
1.0,1/10,1,10,36.65,13.24,24.19,13.96,35.14,13.42
1.0,1/5,1,5,35.64,13.3,24.19,13.96,36.28,12.71
1.0,1/2,1,2,35.88,13.31,24.23,13.93,41.09,11.88
1.0,1/1,1,1,57.92,13.62,24.3,13.91,44.95,11.44
1.0,2/1,2,1,85.01,13.84,24.92,13.8,46.11,11.38
1.0,5/1,5,1,81.59,14.38,27.96,13.59,48.27,11.38
1.0,10/1,10,1,87.11,14.57,45.27,13.01,49.21,11.36
1.0,20/1,20,1,95.69,14.55,52.47,12.65,49.61,11.36
1.0,1/0,1,0,99.28,14.67,116.45,12.66,50.07,11.36
1.2,1/20,1,20,35.64,12.14,24.13,11.21,34.89,13.91
1.2,1/10,1,10,35.37,11.82,24.1,11.21,35.14,13.42
1.2,1/5,1,5,35.25,11.8,24.03,11.21,36.28,12.71
1.2,1/2,1,2,35.99,11.94,23.94,11.2,41.09,11.88
1.2,1/1,1,1,37.35,11.75,23.67,11.19,44.95,11.44
1.2,2/1,2,1,44.73,12.11,23.27,11.2,46.11,11.38
1.2,5/1,5,1,48.62,12.32,23.05,11.34,48.27,11.38
1.2,10/1,10,1,52.56,12.26,24.23,11.58,49.21,11.36
1.2,20/1,20,1,69.06,12.3,25.43,11.66,49.61,11.36
1.2,1/0,1,0,71.84,12.41,58.56,12.61,50.07,11.36
1.5,1/20,1,20,35.68,14.19,24.07,11.36,34.89,13.91
1.5,1/10,1,10,35.71,13.85,24.02,11.31,35.14,13.42
1.5,1/5,1,5,35.62,13.75,23.86,11.18,36.28,12.71
1.5,1/2,1,2,36.82,13.48,23.43,10.99,41.09,11.88
1.5,1/1,1,1,38.04,13.32,23.04,10.76,44.95,11.44
1.5,2/1,2,1,42.83,12.83,23.43,10.53,46.11,11.38
1.5,5/1,5,1,49.51,12.12,29.82,10.36,48.27,11.38
1.5,10/1,10,1,59.01,11.47,34.56,10.25,49.21,11.36
1.5,20/1,20,1,66.07,11.07,40.1,10.23,49.61,11.36
1.5,1/0,1,0,68.85,11.17,58.56,10.51,50.07,11.36
2.0,1/20,1,20,35.89,20.62,24.02,15.14,34.89,13.91
2.0,1/10,1,10,36.25,20.4,23.86,14.81,35.14,13.42
2.0,1/5,1,5,36.83,20.68,23.55,14.43,36.28,12.71
2.0,1/2,1,2,37.37,19.77,23.04,13.58,41.09,11.88
2.0,1/1,1,1,39.56,18.1,23.86,12.63,44.95,11.44
2.0,2/1,2,1,43.5,14.56,29.81,11.71,46.11,11.38
2.0,5/1,5,1,52.77,12.59,39.43,10.91,48.27,11.38
2.0,10/1,10,1,60.19,11.78,51.17,10.79,49.21,11.36
2.0,20/1,20,1,65.9,11.82,59.06,10.53,49.61,11.36
2.0,1/0,1,0,76.75,12.07,68.35,10.71,50.07,11.36
3.0,1/20,1,20,36.14,33.78,23.85,22.51,34.89,13.91
3.0,1/10,1,10,36.89,34.88,23.53,21.52,35.14,13.42
3.0,1/5,1,5,37.08,32.6,23.11,19.99,36.28,12.71
3.0,1/2,1,2,40.79,28.91,24.21,16.98,41.09,11.88
3.0,1/1,1,1,42.42,18.53,30.96,14.57,44.95,11.44
3.0,2/1,2,1,54.83,16.17,39.65,12.64,46.11,11.38
3.0,5/1,5,1,65.69,14.15,56.49,11.41,48.27,11.38
3.0,10/1,10,1,71.79,14.14,64.67,10.94,49.21,11.36
3.0,20/1,20,1,80.17,13.57,69.04,11.0,49.61,11.36
3.0,1/0,1,0,89.33,14.38,76.68,11.13,50.07,11.36
